Name,Status,Acknowledged,Cluster,Volume Group,Storage System,WWPNs,Associated Resource,Host Type,FC Ports,Volumes
"API01A1_iasp_01","Online","No",,"API01A1_iasp_01","IBM.2107-75KHY01","C0507609E3F802FC, C0507609E3F80324, C0507609E3F802E0, C0507609E3F80310",,"IBM iSeries - OS/400","4",
"API01A1_iasp_02","Online","No",,"API01A1_iasp_02","IBM.2107-75KHY01","C0507609E3F80326, C0507609E3F802FE, C0507609E3F80312, C0507609E3F802E4",,"IBM iSeries - OS/400","4",
"API01A1_iasp_03","Online","No",,"API01A1_iasp_03","IBM.2107-75KHY01","C0507609E3F80314, C0507609E3F80328, C0507609E3F802E8, C0507609E3F80300",,"IBM iSeries - OS/400","4",
"API01A1_iasp_04","Online","No",,"API01A1_iasp_04","IBM.2107-75KHY01","C0507609E3F80316, C0507609E3F8032A, C0507609E3F80302, C0507609E3F802EC",,"IBM iSeries - OS/400","4",
"API01A1_iasp_05","Online","No",,"API01A1_iasp_05","Chaska Blue (IBM.2107-75KHY01)","C0507609E3F802F0, C0507609E3F80304, C0507609E3F80318, C0507609E3F8032C",,"IBM iSeries - OS/400","4",
"API01A1_iasp_06","Online","No",,"API01A1_iasp_06","IBM.2107-75KHY01","C0507609E3F8031A, C0507609E3F802F2, C0507609E3F8032E, C0507609E3F80306",,"IBM iSeries - OS/400","4",
"API01A1_iasp_07","Online","No",,"API01A1_iasp_07","Chaska Blue (IBM.2107-75KHY01)","C0507609E3F802F4, C0507609E3F80308, C0507609E3F80330, C0507609E3F8031C",,"IBM iSeries - OS/400","4",
"API01A1_iasp_08","Online","No",,"API01A1_iasp_08","IBM.2107-75KHY01","C0507609E3F8030A, C0507609E3F8031E, C0507609E3F80332, C0507609E3F802F6",,"IBM iSeries - OS/400","4",
"API01A1_iasp_09","Online","No",,"API01A1_iasp_09","IBM.2107-75KHY01","C0507609E3F80354, C0507609E3F802D4, C0507609E3F8035C, C0507609E3F802E2",,"IBM iSeries - OS/400","4",
"API01A1_iasp_10","Online","No",,"API01A1_iasp_10","IBM.2107-75KHY01","C0507609E3F802E6, C0507609E3F802D6, C0507609E3F80356, C0507609E3F8035E",,"IBM iSeries - OS/400","4",
"API01A1_iasp_11","Online","No",,"API01A1_iasp_11","IBM.2107-75KHY01","C0507609E3F80360, C0507609E3F802D8, C0507609E3F80358, C0507609E3F802EA",,"IBM iSeries - OS/400","4",
"API01A1_iasp_12","Online","No",,"API01A1_iasp_12","IBM.2107-75KHY01","C0507609E3F802EE, C0507609E3F80362, C0507609E3F802DA, C0507609E3F8035A",,"IBM iSeries - OS/400","4",
"API01A2_iasp_01","Online","No",,"API01A2_iasp_01","IBM.2107-75KHY01","C0507609E3F803A0, C0507609E3F80370, C0507609E3F8038C, C0507609E3F803B4",,"IBM iSeries - OS/400","4",
"API01A2_iasp_02","Online","No",,"API01A2_iasp_02","IBM.2107-75KHY01","C0507609E3F803B6, C0507609E3F8038E, C0507609E3F80374, C0507609E3F803A2",,"IBM iSeries - OS/400","4",
"API01A2_iasp_03","Online","No",,"API01A2_iasp_03","IBM.2107-75KHY01","C0507609E3F803A4, C0507609E3F80378, C0507609E3F803B8, C0507609E3F80390",,"IBM iSeries - OS/400","4",
"API01A2_iasp_04","Online","No",,"API01A2_iasp_04","IBM.2107-75KHY01","C0507609E3F803BA, C0507609E3F80392, C0507609E3F803A6, C0507609E3F8037C",,"IBM iSeries - OS/400","4",
"API01A2_iasp_05","Online","No",,"API01A2_iasp_05","IBM.2107-75KHY01","C0507609E3F80380, C0507609E3F803A8, C0507609E3F80394, C0507609E3F803BC",,"IBM iSeries - OS/400","4",
"API01A2_iasp_06","Online","No",,"API01A2_iasp_06","IBM.2107-75KHY01","C0507609E3F80382, C0507609E3F80396, C0507609E3F803BE, C0507609E3F803AA",,"IBM iSeries - OS/400","4",
"API01A2_iasp_07","Online","No",,"API01A2_iasp_07","IBM.2107-75KHY01","C0507609E3F803C0, C0507609E3F803AC, C0507609E3F80384, C0507609E3F80398",,"IBM iSeries - OS/400","4",
"API01A2_iasp_08","Online","No",,"API01A2_iasp_08","IBM.2107-75KHY01","C0507609E3F80386, C0507609E3F803C2, C0507609E3F803AE, C0507609E3F8039A",,"IBM iSeries - OS/400","4",
"API01A2_iasp_09","Online","No",,"API01A2_iasp_09","IBM.2107-75KHY01","C0507609E3F80372, C0507609E3F803E4, C0507609E3F80364, C0507609E3F803EC",,"IBM iSeries - OS/400","4",
"API01A2_iasp_10","Online","No",,"API01A2_iasp_10","IBM.2107-75KHY01","C0507609E3F80376, C0507609E3F803E6, C0507609E3F80366, C0507609E3F803EE",,"IBM iSeries - OS/400","4",
"API01A2_iasp_11","Online","No",,"API01A2_iasp_11","Chaska Blue (IBM.2107-75KHY01)","C0507609E3F803F0, C0507609E3F80368, C0507609E3F8037A, C0507609E3F803E8",,"IBM iSeries - OS/400","4",
"API01A2_iasp_12","Online","No",,"API01A2_iasp_12","IBM.2107-75KHY01","C0507609E3F8036A, C0507609E3F8037E, C0507609E3F803F2, C0507609E3F803EA",,"IBM iSeries - OS/400","4",
